E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_25_236.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_25_236.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_25_236.jpg, 0, 0, 0, 7.816788E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_25_349.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_25_349.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_25_349.jpg, 0, 0, 0, 7.875809E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_25_456.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_25_456.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_25_456.jpg, 0, 0, 0, 7.968549E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_25_560.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_25_560.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_25_560.jpg, 0, 0, 0, 7.941063E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_25_668.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_25_668.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_25_668.jpg, 0, 0, 0, 7.833818E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_25_775.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_25_775.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_25_775.jpg, 0, 0, 0, 7.897642E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_25_880.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_25_880.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_25_880.jpg, 0, 0, 0, 7.994712E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_25_988.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_25_988.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_25_988.jpg, 0, 0, 0, 7.784615E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_26_091.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_26_091.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_26_091.jpg, 0, 0, 0, 7.854644E-05
E:\python\opencvproject\data\IMG\center_2020_05_05_20_44_26_205.jpg, E:\python\opencvproject\data\IMG\left_2020_05_05_20_44_26_205.jpg, E:\python\opencvproject\data\IMG\right_2020_05_05_20_44_26_205.jpg, 0, 0, 0, 7.98955E-05
